ano,uf,municipio,codmun7,pop,homemtot,mulhertot,gini,pind,rdpc,t_agua,idhm,espvida,fectot,mort1,mort5,e_anosestudo,agua_esgoto,t_luz,t_lixo,t_env
2010,11,ALTA FLORESTA D'OESTE,1100015,24097,12656,11736,0.58,14.29,476.99,93.69,0.641,70.75,2.24,23.8,25.49,8.67,9.31,93.98,94.05,5.84
2010,11,ARIQUEMES,1100023,89766,45543,44810,0.53,4.36,689.95,98.54,0.702,73.36,1.91,19.2,20.53,9.18,11.4,98.58,96.72,4.36
2010,11,CABIXI,1100031,6303,3266,3047,0.51,7.27,457.17,95.49,0.65,70.39,2.15,24.8,26.58,10.09,3.31,96.36,99.14,6.87
2010,11,CACOAL,1100049,78141,39124,39450,0.57,5.97,738.06,97.96,0.718,74.27,1.9,14.3,15.38,9.74,1.85,98.89,98.17,5.57
2010,11,CEREJEIRAS,1100056,16942,8551,8478,0.5,4.72,577.18,97.53,0.692,72.94,2.12,18.1,19.42,10.22,5.34,98.85,91.89,6.44
2010,11,COLORADO DO OESTE,1100064,18540,9330,9261,0.49,6.64,535.41,95.54,0.685,73.81,1.89,16.1,17.28,10.4,2.99,97.76,92.79,7.51
2010,11,CORUMBIARA,1100072,8647,4711,4072,0.48,10.16,402.15,93.24,0.613,71.45,2.29,21.9,23.45,9.82,6.31,97.81,90.19,5.67
2010,11,COSTA MARQUES,1100080,13539,7202,6476,0.52,9.66,370.77,95.67,0.611,70.04,2.72,25.8,27.66,9.22,36.41,90.13,79.35,3.82
2010,11,ESPIGÃO D'OESTE,1100098,28510,14606,14123,0.52,6.6,590.8,93.7,0.672,74.15,2.22,15.4,16.47,9.55,7.66,96.7,91.07,5.21
2010,11,GUAJARÁ-MIRIM,1100106,39928,20947,20709,0.54,10.38,494.69,93.26,0.657,74.39,2.61,14.8,15.92,8.17,36.84,97.71,90.41,4.82
2010,11,JARU,1100114,51715,26005,26e3,0.49,4.32,575.14,97.09,0.689,74.51,2.11,14.6,15.63,9.42,15.11,99.4,95.04,5.62
2010,11,JI-PARANÁ,1100122,115896,57824,58786,0.53,2.67,743.35,97.81,0.714,73.6,2.26,16.2,17.43,9.95,5.87,99.35,95.36,5.05
2010,11,MACHADINHO D'OESTE,1100130,31020,16536,14599,0.55,17.59,401.42,92.56,0.596,70.32,2.54,25,26.79,7.8,17.19,88.1,91.21,4.05
2010,11,NOVA BRASILÂNDIA D'OESTE,1100148,19526,10344,9530,0.56,10.3,499.59,94.07,0.643,70.75,2.03,23.8,25.49,9.44,9.6,94.95,94.84,5.49
2010,11,OURO PRETO DO OESTE,1100155,37661,18698,19230,0.48,3.71,576.51,97.8,0.682,73.72,1.86,16.3,17.49,9.17,5.61,99.13,96.79,6.04
2010,11,PIMENTA BUENO,1100189,33611,17041,16781,0.54,2.29,734.76,97.21,0.71,73.15,2.18,17.6,18.88,9.08,4.7,99,97.98,5.07
2010,11,PORTO VELHO,1100205,422555,217618,210909,0.56,2.64,929.19,92.87,0.736,74.14,2.13,15.52,16.6,8.99,17.76,98.2,95.67,3.52
2010,11,PRESIDENTE MÉDICI,1100254,22262,11309,11010,0.53,9.3,520.2,93.77,0.664,72.51,2.27,19.2,20.54,9.78,9.63,99.15,91.68,7.07
2010,11,RIO CRESPO,1100262,3286,1767,1549,0.58,16.85,420.61,97.99,0.643,73.77,2.93,16.2,17.37,9.03,8.15,96.42,95.82,6.36
2010,11,ROLIM DE MOURA,1100288,50379,25170,25478,0.53,3.96,657.65,97.4,0.7,73.46,1.99,16.9,18.13,9.9,4.5,99.24,98.05,5.56
2010,11,SANTA LUZIA D'OESTE,1100296,8865,4596,4290,0.49,8.2,476.08,93.08,0.67,73.73,2.32,16.3,17.47,9.71,8.09,99.21,78.87,6.89
2010,11,VILHENA,1100304,75614,37782,38420,0.5,2.1,768.98,98.16,0.731,73.49,1.99,16.98,18.16,10.55,1.55,98.29,98.01,4.46
2010,11,SÃO MIGUEL DO GUAPORÉ,1100320,21700,11328,10500,0.62,21.83,440.6,97.43,0.646,71.87,2.29,20.8,22.27,9.72,9.43,96.7,98.52,4.64
2010,11,NOVA MAMORÉ,1100338,22263,11735,10811,0.52,11.73,377.34,93.81,0.587,71.15,2.78,22.7,24.3,7.7,31.57,91.43,78.14,3.78
2010,11,ALVORADA D'OESTE,1100346,16694,8678,8175,0.53,11.71,469.26,94.31,0.643,70.75,1.87,23.8,25.49,9.78,7.37,98.06,95.35,6.12
2010,11,ALTO ALEGRE DOS PARECIS,1100379,12760,6739,6077,0.54,21.1,341.22,93.59,0.592,71.64,2.69,21.4,22.91,9.46,15.73,91.11,92.79,4.86
2010,11,ALTO PARAÍSO,1100403,17112,9022,8113,0.54,8.34,498.49,95.29,0.625,73.22,2.93,17.4,18.7,7.61,15.58,97.06,87.49,4.92
2010,11,BURITIS,1100452,32264,16741,15642,0.5,9.18,458.05,90.12,0.616,70.08,2.57,25.7,27.54,8.3,13.51,94.44,96.4,3.8
2010,11,NOVO HORIZONTE DO OESTE,1100502,10198,5336,4904,0.51,16.6,346.38,92.66,0.634,72.92,2.26,18.2,19.47,8.8,8.4,98.86,97.77,6.51
2010,11,CACAULÂNDIA,1100601,5724,2965,2771,0.56,8.8,499.93,93.68,0.646,73.08,2.53,17.8,19.05,9.44,10.75,94.16,96.1,5.93
2010,11,CAMPO NOVO DE RONDÔNIA,1100700,12603,6768,5897,0.67,15.58,507.69,91.75,0.593,71.34,2.73,22.2,23.75,7.86,16.2,84.79,90.17,3.58
2010,11,CANDEIAS DO JAMARI,1100809,19681,10320,9459,0.47,7.14,463.63,95.88,0.649,74.11,2.87,15.4,16.55,8.19,16.08,95.28,76.96,3.96
2010,11,CASTANHEIRAS,1100908,3559,1829,1746,0.5,12.02,455.53,95.22,0.658,73.15,2.54,17.6,18.88,9.96,5.47,97.44,90.07,7.13
